"nz_points_total","nz_points_mixed","nz_points_opens","nz_points_womens","nz_qualify","scenario"
238,75,84,79,1,"Stacked Opens/Womens"
227,71,75,81,0,"Stacked Opens/Womens"
240,72,87,81,0,"Stacked Opens/Womens"
236,68,91,77,0,"Stacked Opens/Womens"
237,67,91,79,0,"Stacked Opens/Womens"
245,73,91,81,1,"Stacked Opens/Womens"
231,74,76,81,0,"Stacked Opens/Womens"
247,68,95,84,1,"Stacked Opens/Womens"
217,66,75,76,0,"Stacked Opens/Womens"
224,69,76,79,0,"Stacked Opens/Womens"
231,71,81,79,0,"Stacked Opens/Womens"
229,68,77,84,0,"Stacked Opens/Womens"
233,75,79,79,0,"Stacked Opens/Womens"
223,67,77,79,0,"Stacked Opens/Womens"
229,73,79,77,0,"Stacked Opens/Womens"
248,74,87,87,1,"Stacked Opens/Womens"
224,74,76,74,0,"Stacked Opens/Womens"
247,71,95,81,1,"Stacked Opens/Womens"
236,71,84,81,0,"Stacked Opens/Womens"
233,68,81,84,0,"Stacked Opens/Womens"
238,75,84,79,0,"Stacked Opens/Womens"
239,68,87,84,1,"Stacked Opens/Womens"
233,72,77,84,0,"Stacked Opens/Womens"
229,74,74,81,0,"Stacked Opens/Womens"
234,68,87,79,0,"Stacked Opens/Womens"
222,69,76,77,0,"Stacked Opens/Womens"
248,74,95,79,1,"Stacked Opens/Womens"
228,73,76,79,0,"Stacked Opens/Womens"
243,75,81,87,1,"Stacked Opens/Womens"
236,68,87,81,0,"Stacked Opens/Womens"
232,72,79,81,0,"Stacked Opens/Womens"
238,72,87,79,0,"Stacked Opens/Womens"
221,68,76,77,0,"Stacked Opens/Womens"
246,71,91,84,1,"Stacked Opens/Womens"
242,74,84,84,1,"Stacked Opens/Womens"
236,73,84,79,0,"Stacked Opens/Womens"
223,66,76,81,0,"Stacked Opens/Womens"
237,71,79,87,0,"Stacked Opens/Womens"
240,68,91,81,1,"Stacked Opens/Womens"
234,74,81,79,0,"Stacked Opens/Womens"
249,73,95,81,1,"Stacked Opens/Womens"
249,70,95,84,1,"Stacked Opens/Womens"
239,71,87,81,1,"Stacked Opens/Womens"
226,71,76,79,0,"Stacked Opens/Womens"
243,68,91,84,1,"Stacked Opens/Womens"
229,75,75,79,0,"Stacked Opens/Womens"
229,68,84,77,0,"Stacked Opens/Womens"
243,69,95,79,1,"Stacked Opens/Womens"
236,73,84,79,0,"Stacked Opens/Womens"
231,76,76,79,0,"Stacked Opens/Womens"
231,72,75,84,0,"Stacked Opens/Womens"
229,68,74,87,0,"Stacked Opens/Womens"
225,68,76,81,0,"Stacked Opens/Womens"
238,75,87,76,0,"Stacked Opens/Womens"
229,68,84,77,0,"Stacked Opens/Womens"
220,68,76,76,0,"Stacked Opens/Womens"
233,72,84,77,0,"Stacked Opens/Womens"
245,73,95,77,1,"Stacked Opens/Womens"
230,68,81,81,0,"Stacked Opens/Womens"
235,69,87,79,0,"Stacked Opens/Womens"
225,71,77,77,0,"Stacked Opens/Womens"
221,67,73,81,0,"Stacked Opens/Womens"
244,73,95,76,1,"Stacked Opens/Womens"
225,70,76,79,0,"Stacked Opens/Womens"
224,68,77,79,0,"Stacked Opens/Womens"
232,72,79,81,0,"Stacked Opens/Womens"
232,68,87,77,0,"Stacked Opens/Womens"
229,71,79,79,0,"Stacked Opens/Womens"
221,68,76,77,0,"Stacked Opens/Womens"
252,74,87,91,1,"Stacked Opens/Womens"
235,70,84,81,0,"Stacked Opens/Womens"
225,68,81,76,0,"Stacked Opens/Womens"
251,73,87,91,1,"Stacked Opens/Womens"
227,67,76,84,0,"Stacked Opens/Womens"
247,73,100,74,1,"Stacked Opens/Womens"
231,76,76,79,0,"Stacked Opens/Womens"
234,72,81,81,0,"Stacked Opens/Womens"
227,72,76,79,0,"Stacked Opens/Womens"
229,74,74,81,0,"Stacked Opens/Womens"
219,68,74,77,0,"Stacked Opens/Womens"
219,68,75,76,0,"Stacked Opens/Womens"
236,68,87,81,1,"Stacked Opens/Womens"
231,68,84,79,0,"Stacked Opens/Womens"
233,68,84,81,0,"Stacked Opens/Womens"
235,70,91,74,0,"Stacked Opens/Womens"
231,68,84,79,0,"Stacked Opens/Womens"
245,77,84,84,1,"Stacked Opens/Womens"
223,67,77,79,0,"Stacked Opens/Womens"
235,69,87,79,0,"Stacked Opens/Womens"
228,70,81,77,0,"Stacked Opens/Womens"
225,71,75,79,0,"Stacked Opens/Womens"
230,70,79,81,0,"Stacked Opens/Womens"
249,74,84,91,1,"Stacked Opens/Womens"
241,73,87,81,0,"Stacked Opens/Womens"
227,72,79,76,0,"Stacked Opens/Womens"
232,67,84,81,0,"Stacked Opens/Womens"
224,67,76,81,0,"Stacked Opens/Womens"
230,72,77,81,0,"Stacked Opens/Womens"
242,76,79,87,1,"Stacked Opens/Womens"
245,74,95,76,1,"Stacked Opens/Womens"
238,74,87,77,0,"Stacked Opens/Womens"
240,70,91,79,0,"Stacked Opens/Womens"
219,68,76,75,0,"Stacked Opens/Womens"
239,71,91,77,0,"Stacked Opens/Womens"
241,71,91,79,1,"Stacked Opens/Womens"
234,71,79,84,0,"Stacked Opens/Womens"
226,74,76,76,0,"Stacked Opens/Womens"
228,68,81,79,0,"Stacked Opens/Womens"
240,75,81,84,1,"Stacked Opens/Womens"
217,66,75,76,0,"Stacked Opens/Womens"
243,68,91,84,1,"Stacked Opens/Womens"
221,66,76,79,0,"Stacked Opens/Womens"
233,68,84,81,0,"Stacked Opens/Womens"
247,75,95,77,1,"Stacked Opens/Womens"
226,68,77,81,0,"Stacked Opens/Womens"
223,66,76,81,0,"Stacked Opens/Womens"
231,71,76,84,0,"Stacked Opens/Womens"
229,71,81,77,0,"Stacked Opens/Womens"
249,70,100,79,1,"Stacked Opens/Womens"
228,70,81,77,0,"Stacked Opens/Womens"
234,68,87,79,0,"Stacked Opens/Womens"
237,71,87,79,1,"Stacked Opens/Womens"
224,67,76,81,0,"Stacked Opens/Womens"
228,68,79,81,0,"Stacked Opens/Womens"
254,76,91,87,1,"Stacked Opens/Womens"
234,71,84,79,0,"Stacked Opens/Womens"
243,72,84,87,1,"Stacked Opens/Womens"
231,68,87,76,0,"Stacked Opens/Womens"
245,73,81,91,1,"Stacked Opens/Womens"
237,74,84,79,0,"Stacked Opens/Womens"
236,68,87,81,0,"Stacked Opens/Womens"
228,68,79,81,0,"Stacked Opens/Womens"
255,73,95,87,1,"Stacked Opens/Womens"
234,68,87,79,0,"Stacked Opens/Womens"
230,70,84,76,0,"Stacked Opens/Womens"
246,74,91,81,1,"Stacked Opens/Womens"
232,74,79,79,0,"Stacked Opens/Womens"
224,71,76,77,0,"Stacked Opens/Womens"
246,74,91,81,0,"Stacked Opens/Womens"
240,76,87,77,1,"Stacked Opens/Womens"
251,72,100,79,1,"Stacked Opens/Womens"
233,70,84,79,0,"Stacked Opens/Womens"
229,74,76,79,0,"Stacked Opens/Womens"
230,72,84,74,0,"Stacked Opens/Womens"
232,72,79,81,0,"Stacked Opens/Womens"
239,75,87,77,0,"Stacked Opens/Womens"
245,71,95,79,1,"Stacked Opens/Womens"
240,72,91,77,0,"Stacked Opens/Womens"
229,74,76,79,0,"Stacked Opens/Womens"
235,69,79,87,0,"Stacked Opens/Womens"
243,71,91,81,1,"Stacked Opens/Womens"
246,70,100,76,0,"Stacked Opens/Womens"
240,74,91,75,1,"Stacked Opens/Womens"
228,73,79,76,0,"Stacked Opens/Womens"
231,68,76,87,0,"Stacked Opens/Womens"
222,70,76,76,0,"Stacked Opens/Womens"
236,68,84,84,1,"Stacked Opens/Womens"
224,68,75,81,0,"Stacked Opens/Womens"
235,72,87,76,0,"Stacked Opens/Womens"
238,73,81,84,0,"Stacked Opens/Womens"
234,68,79,87,0,"Stacked Opens/Womens"
224,68,79,77,0,"Stacked Opens/Womens"
228,70,79,79,0,"Stacked Opens/Womens"
231,76,74,81,0,"Stacked Opens/Womens"
238,67,84,87,0,"Stacked Opens/Womens"
216,66,76,74,0,"Stacked Opens/Womens"
246,67,95,84,1,"Stacked Opens/Womens"
233,72,84,77,0,"Stacked Opens/Womens"
238,75,84,79,1,"Stacked Opens/Womens"
227,67,84,76,0,"Stacked Opens/Womens"
226,68,79,79,0,"Stacked Opens/Womens"
229,67,81,81,0,"Stacked Opens/Womens"
243,72,87,84,1,"Stacked Opens/Womens"
225,68,76,81,0,"Stacked Opens/Womens"
229,69,76,84,0,"Stacked Opens/Womens"
220,67,74,79,0,"Stacked Opens/Womens"
244,72,95,77,1,"Stacked Opens/Womens"
226,73,74,79,0,"Stacked Opens/Womens"
231,69,81,81,0,"Stacked Opens/Womens"
239,65,87,87,1,"Stacked Opens/Womens"
234,74,79,81,0,"Stacked Opens/Womens"
231,71,81,79,0,"Stacked Opens/Womens"
236,73,87,76,0,"Stacked Opens/Womens"
241,73,87,81,0,"Stacked Opens/Womens"
248,72,95,81,1,"Stacked Opens/Womens"
233,71,81,81,0,"Stacked Opens/Womens"
236,71,84,81,0,"Stacked Opens/Womens"
235,69,87,79,0,"Stacked Opens/Womens"
225,68,76,81,0,"Stacked Opens/Womens"
222,69,76,77,0,"Stacked Opens/Womens"
243,71,91,81,1,"Stacked Opens/Womens"
236,68,87,81,0,"Stacked Opens/Womens"
247,71,95,81,1,"Stacked Opens/Womens"
245,71,95,79,1,"Stacked Opens/Womens"
229,72,76,81,0,"Stacked Opens/Womens"
242,70,91,81,0,"Stacked Opens/Womens"
235,70,81,84,0,"Stacked Opens/Womens"
233,75,77,81,0,"Stacked Opens/Womens"
240,77,79,84,0,"Stacked Opens/Womens"
228,68,79,81,0,"Stacked Opens/Womens"
234,68,91,75,0,"Stacked Opens/Womens"
233,70,84,79,0,"Stacked Opens/Womens"
235,70,84,81,0,"Stacked Opens/Womens"
219,65,77,77,0,"Stacked Opens/Womens"
241,73,87,81,0,"Stacked Opens/Womens"
224,68,77,79,0,"Stacked Opens/Womens"
236,74,81,81,0,"Stacked Opens/Womens"
242,68,95,79,1,"Stacked Opens/Womens"
231,67,87,77,0,"Stacked Opens/Womens"
234,69,81,84,0,"Stacked Opens/Womens"
235,72,87,76,1,"Stacked Opens/Womens"
239,74,84,81,0,"Stacked Opens/Womens"
230,67,84,79,0,"Stacked Opens/Womens"
228,71,76,81,0,"Stacked Opens/Womens"
244,72,91,81,0,"Stacked Opens/Womens"
230,68,81,81,0,"Stacked Opens/Womens"
244,70,95,79,1,"Stacked Opens/Womens"
224,71,76,77,0,"Stacked Opens/Womens"
228,71,84,73,0,"Stacked Opens/Womens"
228,72,77,79,0,"Stacked Opens/Womens"
234,69,84,81,0,"Stacked Opens/Womens"
234,70,87,77,0,"Stacked Opens/Womens"
233,71,81,81,1,"Stacked Opens/Womens"
233,70,79,84,0,"Stacked Opens/Womens"
224,73,75,76,0,"Stacked Opens/Womens"
247,76,87,84,1,"Stacked Opens/Womens"
240,70,91,79,0,"Stacked Opens/Womens"
236,73,84,79,0,"Stacked Opens/Womens"
234,70,87,77,0,"Stacked Opens/Womens"
240,74,79,87,1,"Stacked Opens/Womens"
233,71,81,81,0,"Stacked Opens/Womens"
241,70,84,87,1,"Stacked Opens/Womens"
226,71,76,79,0,"Stacked Opens/Womens"
242,72,91,79,0,"Stacked Opens/Womens"
245,74,95,76,1,"Stacked Opens/Womens"
225,70,79,76,0,"Stacked Opens/Womens"
225,71,77,77,0,"Stacked Opens/Womens"
240,68,91,81,0,"Stacked Opens/Womens"
238,70,84,84,0,"Stacked Opens/Womens"
245,73,91,81,1,"Stacked Opens/Womens"
229,72,76,81,0,"Stacked Opens/Womens"
222,70,76,76,0,"Stacked Opens/Womens"
224,69,76,79,0,"Stacked Opens/Womens"
233,70,84,79,0,"Stacked Opens/Womens"
227,72,76,79,0,"Stacked Opens/Womens"
245,71,87,87,1,"Stacked Opens/Womens"
228,68,79,81,0,"Stacked Opens/Womens"
230,73,76,81,0,"Stacked Opens/Womens"
226,74,76,76,0,"Stacked Opens/Womens"
242,68,95,79,1,"Stacked Opens/Womens"
228,72,81,75,0,"Stacked Opens/Womens"
238,67,95,76,0,"Stacked Opens/Womens"
226,74,76,76,0,"Stacked Opens/Womens"
232,67,84,81,0,"Stacked Opens/Womens"
238,73,84,81,0,"Stacked Opens/Womens"
230,72,79,79,0,"Stacked Opens/Womens"
225,72,76,77,0,"Stacked Opens/Womens"
238,68,91,79,1,"Stacked Opens/Womens"
229,72,76,81,0,"Stacked Opens/Womens"
244,68,95,81,1,"Stacked Opens/Womens"
255,71,100,84,1,"Stacked Opens/Womens"
235,70,84,81,0,"Stacked Opens/Womens"
238,73,81,84,1,"Stacked Opens/Womens"
229,72,76,81,0,"Stacked Opens/Womens"
237,72,81,84,0,"Stacked Opens/Womens"
254,76,87,91,1,"Stacked Opens/Womens"
224,70,75,79,0,"Stacked Opens/Womens"
227,69,79,79,0,"Stacked Opens/Womens"
227,69,79,79,0,"Stacked Opens/Womens"
236,71,81,84,0,"Stacked Opens/Womens"
228,71,81,76,0,"Stacked Opens/Womens"
233,77,79,77,0,"Stacked Opens/Womens"
247,75,91,81,1,"Stacked Opens/Womens"
227,70,76,81,0,"Stacked Opens/Womens"
227,74,76,77,0,"Stacked Opens/Womens"
225,68,76,81,0,"Stacked Opens/Womens"
243,72,87,84,1,"Stacked Opens/Womens"
240,68,77,95,1,"Stacked Opens/Womens"
230,72,79,79,0,"Stacked Opens/Womens"
246,74,91,81,1,"Stacked Opens/Womens"
234,68,79,87,0,"Stacked Opens/Womens"
236,72,87,77,0,"Stacked Opens/Womens"
240,75,81,84,1,"Stacked Opens/Womens"
230,70,81,79,0,"Stacked Opens/Womens"
237,69,87,81,1,"Stacked Opens/Womens"
227,72,76,79,0,"Stacked Opens/Womens"
249,74,84,91,1,"Stacked Opens/Womens"
242,71,84,87,1,"Stacked Opens/Womens"
252,75,100,77,1,"Stacked Opens/Womens"
219,68,76,75,0,"Stacked Opens/Womens"
225,68,76,81,0,"Stacked Opens/Womens"
236,68,87,81,0,"Stacked Opens/Womens"
226,75,75,76,0,"Stacked Opens/Womens"
226,74,76,76,0,"Stacked Opens/Womens"
232,68,87,77,0,"Stacked Opens/Womens"
227,71,75,81,0,"Stacked Opens/Womens"
221,68,74,79,0,"Stacked Opens/Womens"
233,67,87,79,0,"Stacked Opens/Womens"
235,67,87,81,0,"Stacked Opens/Womens"
228,72,77,79,0,"Stacked Opens/Womens"
243,71,95,77,1,"Stacked Opens/Womens"
224,68,79,77,0,"Stacked Opens/Womens"
247,71,95,81,1,"Stacked Opens/Womens"
247,73,95,79,1,"Stacked Opens/Womens"
243,75,87,81,1,"Stacked Opens/Womens"
222,69,76,77,0,"Stacked Opens/Womens"
227,71,75,81,0,"Stacked Opens/Womens"
234,73,74,87,0,"Stacked Opens/Womens"
226,71,76,79,0,"Stacked Opens/Womens"
217,66,75,76,0,"Stacked Opens/Womens"
230,71,75,84,0,"Stacked Opens/Womens"
236,73,87,76,0,"Stacked Opens/Womens"
230,66,87,77,0,"Stacked Opens/Womens"
228,68,81,79,0,"Stacked Opens/Womens"
236,73,84,79,0,"Stacked Opens/Womens"
236,76,81,79,0,"Stacked Opens/Womens"
227,71,81,75,0,"Stacked Opens/Womens"
229,71,77,81,0,"Stacked Opens/Womens"
234,72,81,81,0,"Stacked Opens/Womens"
224,68,77,79,0,"Stacked Opens/Womens"
243,68,91,84,1,"Stacked Opens/Womens"
235,68,91,76,0,"Stacked Opens/Womens"
247,68,95,84,1,"Stacked Opens/Womens"
234,76,79,79,1,"Stacked Opens/Womens"
236,66,91,79,0,"Stacked Opens/Womens"
230,68,87,75,0,"Stacked Opens/Womens"
234,68,79,87,0,"Stacked Opens/Womens"
235,75,84,76,0,"Stacked Opens/Womens"
224,67,76,81,0,"Stacked Opens/Womens"
234,68,87,79,0,"Stacked Opens/Womens"
225,71,73,81,0,"Stacked Opens/Womens"
234,74,79,81,0,"Stacked Opens/Womens"
222,68,75,79,0,"Stacked Opens/Womens"
231,73,79,79,0,"Stacked Opens/Womens"
240,74,87,79,1,"Stacked Opens/Womens"
245,81,77,87,1,"Stacked Opens/Womens"
254,73,100,81,1,"Stacked Opens/Womens"
237,71,87,79,0,"Stacked Opens/Womens"
237,74,79,84,0,"Stacked Opens/Womens"
238,70,87,81,1,"Stacked Opens/Womens"
229,71,79,79,0,"Stacked Opens/Womens"
240,68,91,81,0,"Stacked Opens/Womens"
223,68,74,81,0,"Stacked Opens/Womens"
223,67,77,79,0,"Stacked Opens/Womens"
242,71,76,95,1,"Stacked Opens/Womens"
232,70,81,81,0,"Stacked Opens/Womens"
245,73,91,81,1,"Stacked Opens/Womens"
235,75,79,81,0,"Stacked Opens/Womens"
220,69,76,75,0,"Stacked Opens/Womens"
230,70,81,79,0,"Stacked Opens/Womens"
223,66,76,81,0,"Stacked Opens/Womens"
227,72,76,79,0,"Stacked Opens/Womens"
222,68,79,75,0,"Stacked Opens/Womens"
226,73,76,77,0,"Stacked Opens/Womens"
231,73,77,81,0,"Stacked Opens/Womens"
239,68,84,87,1,"Stacked Opens/Womens"
230,67,84,79,0,"Stacked Opens/Womens"
239,73,87,79,0,"Stacked Opens/Womens"
251,76,91,84,1,"Stacked Opens/Womens"
237,72,81,84,0,"Stacked Opens/Womens"
241,70,87,84,1,"Stacked Opens/Womens"
237,69,81,87,0,"Stacked Opens/Womens"
241,70,84,87,0,"Stacked Opens/Womens"
229,73,75,81,0,"Stacked Opens/Womens"
