"nz_points_total","nz_points_mixed","nz_points_opens","nz_points_womens","nz_qualify","scenario"
234,74,81,79,0,"Base"
222,75,74,73,0,"Base"
233,79,77,77,0,"Base"
234,72,81,81,0,"Base"
242,74,87,81,1,"Base"
242,74,87,81,1,"Base"
225,72,72,81,0,"Base"
234,76,79,79,1,"Base"
236,68,84,84,0,"Base"
235,74,84,77,0,"Base"
240,74,79,87,0,"Base"
241,73,87,81,1,"Base"
234,74,81,79,0,"Base"
241,75,87,79,0,"Base"
225,71,77,77,0,"Base"
225,72,74,79,0,"Base"
237,75,81,81,0,"Base"
233,73,81,79,0,"Base"
228,74,77,77,0,"Base"
236,74,81,81,0,"Base"
231,77,75,79,0,"Base"
232,75,81,76,0,"Base"
251,76,91,84,1,"Base"
230,70,79,81,0,"Base"
233,68,81,84,0,"Base"
228,73,81,74,0,"Base"
229,74,74,81,0,"Base"
242,76,79,87,0,"Base"
238,76,81,81,0,"Base"
229,75,79,75,0,"Base"
232,77,76,79,0,"Base"
232,76,79,77,0,"Base"
234,74,79,81,1,"Base"
234,77,81,76,0,"Base"
242,72,91,79,0,"Base"
233,77,75,81,0,"Base"
250,76,95,79,1,"Base"
238,84,75,79,0,"Base"
247,87,79,81,1,"Base"
233,77,75,81,0,"Base"
223,70,74,79,0,"Base"
229,71,77,81,0,"Base"
239,73,79,87,0,"Base"
228,71,76,81,0,"Base"
244,84,79,81,1,"Base"
229,74,79,76,0,"Base"
223,71,75,77,0,"Base"
242,76,87,79,0,"Base"
228,68,79,81,0,"Base"
258,77,100,81,1,"Base"
225,75,75,75,0,"Base"
229,74,76,79,0,"Base"
243,75,87,81,1,"Base"
235,72,76,87,0,"Base"
226,68,74,84,0,"Base"
226,73,77,76,0,"Base"
241,73,87,81,1,"Base"
235,75,84,76,1,"Base"
229,72,76,81,0,"Base"
244,76,91,77,1,"Base"
235,75,76,84,0,"Base"
220,68,75,77,0,"Base"
228,72,77,79,0,"Base"
229,74,79,76,0,"Base"
253,77,100,76,1,"Base"
230,74,75,81,0,"Base"
225,75,76,74,0,"Base"
239,71,91,77,0,"Base"
229,74,79,76,0,"Base"
229,74,74,81,0,"Base"
220,68,75,77,0,"Base"
232,74,79,79,0,"Base"
240,77,84,79,0,"Base"
228,73,76,79,0,"Base"
237,73,87,77,0,"Base"
239,75,87,77,0,"Base"
232,70,81,81,0,"Base"
238,74,87,77,1,"Base"
231,71,81,79,0,"Base"
