"nz_points_total","nz_points_mixed","nz_points_opens","nz_points_womens","nz_qualify","scenario"
228,74,73,81,0,"Stacked Mixed"
229,75,75,79,0,"Stacked Mixed"
227,77,74,76,0,"Stacked Mixed"
225,75,76,74,0,"Stacked Mixed"
235,75,81,79,0,"Stacked Mixed"
225,72,76,77,0,"Stacked Mixed"
236,84,75,77,1,"Stacked Mixed"
237,73,77,87,0,"Stacked Mixed"
235,81,75,79,1,"Stacked Mixed"
249,84,81,84,1,"Stacked Mixed"
244,84,76,84,0,"Stacked Mixed"
237,79,79,79,0,"Stacked Mixed"
240,81,84,75,0,"Stacked Mixed"
229,74,74,81,0,"Stacked Mixed"
222,73,75,74,0,"Stacked Mixed"
225,76,73,76,0,"Stacked Mixed"
224,67,81,76,0,"Stacked Mixed"
231,81,73,77,0,"Stacked Mixed"
230,75,76,79,0,"Stacked Mixed"
248,74,95,79,1,"Stacked Mixed"
228,76,76,76,0,"Stacked Mixed"
231,77,75,79,0,"Stacked Mixed"
242,87,74,81,1,"Stacked Mixed"
232,74,79,79,0,"Stacked Mixed"
224,71,74,79,0,"Stacked Mixed"
227,77,75,75,0,"Stacked Mixed"
232,72,79,81,0,"Stacked Mixed"
229,74,74,81,0,"Stacked Mixed"
228,77,75,76,0,"Stacked Mixed"
230,75,76,79,0,"Stacked Mixed"
234,74,81,79,0,"Stacked Mixed"
233,79,73,81,0,"Stacked Mixed"
237,74,87,76,0,"Stacked Mixed"
236,81,79,76,0,"Stacked Mixed"
236,81,76,79,1,"Stacked Mixed"
229,74,76,79,0,"Stacked Mixed"
229,74,76,79,0,"Stacked Mixed"
248,87,77,84,1,"Stacked Mixed"
237,77,81,79,0,"Stacked Mixed"
226,73,74,79,0,"Stacked Mixed"
249,87,81,81,1,"Stacked Mixed"
226,74,76,76,0,"Stacked Mixed"
234,76,81,77,0,"Stacked Mixed"
233,79,79,75,0,"Stacked Mixed"
232,81,75,76,0,"Stacked Mixed"
226,75,75,76,0,"Stacked Mixed"
240,77,79,84,0,"Stacked Mixed"
237,76,87,74,1,"Stacked Mixed"
232,77,79,76,0,"Stacked Mixed"
230,76,75,79,0,"Stacked Mixed"
231,74,76,81,0,"Stacked Mixed"
235,77,77,81,0,"Stacked Mixed"
238,76,81,81,0,"Stacked Mixed"
236,84,76,76,0,"Stacked Mixed"
232,81,74,77,0,"Stacked Mixed"
235,76,75,84,0,"Stacked Mixed"
232,74,77,81,0,"Stacked Mixed"
230,74,79,77,0,"Stacked Mixed"
233,76,81,76,0,"Stacked Mixed"
239,87,77,75,0,"Stacked Mixed"
232,79,76,77,0,"Stacked Mixed"
252,84,91,77,1,"Stacked Mixed"
235,81,75,79,0,"Stacked Mixed"
231,76,76,79,0,"Stacked Mixed"
224,68,79,77,0,"Stacked Mixed"
229,77,75,77,0,"Stacked Mixed"
238,74,87,77,1,"Stacked Mixed"
240,84,77,79,0,"Stacked Mixed"
228,76,76,76,0,"Stacked Mixed"
238,73,81,84,1,"Stacked Mixed"
230,74,77,79,0,"Stacked Mixed"
233,75,77,81,0,"Stacked Mixed"
235,84,77,74,0,"Stacked Mixed"
223,70,74,79,0,"Stacked Mixed"
224,75,75,74,0,"Stacked Mixed"
231,76,76,79,0,"Stacked Mixed"
230,76,75,79,0,"Stacked Mixed"
232,72,84,76,0,"Stacked Mixed"
230,81,73,76,0,"Stacked Mixed"
241,81,81,79,1,"Stacked Mixed"
242,87,76,79,1,"Stacked Mixed"
225,76,74,75,0,"Stacked Mixed"
231,81,76,74,0,"Stacked Mixed"
232,76,77,79,0,"Stacked Mixed"
234,76,84,74,0,"Stacked Mixed"
234,70,87,77,0,"Stacked Mixed"
224,74,75,75,0,"Stacked Mixed"
237,74,84,79,1,"Stacked Mixed"
230,72,79,79,0,"Stacked Mixed"
223,72,74,77,0,"Stacked Mixed"
226,68,79,79,0,"Stacked Mixed"
229,74,76,79,0,"Stacked Mixed"
239,87,76,76,0,"Stacked Mixed"
238,70,87,81,1,"Stacked Mixed"
226,76,74,76,0,"Stacked Mixed"
230,76,75,79,0,"Stacked Mixed"
232,70,81,81,0,"Stacked Mixed"
245,87,81,77,1,"Stacked Mixed"
230,72,79,79,0,"Stacked Mixed"
229,74,74,81,0,"Stacked Mixed"
233,77,77,79,0,"Stacked Mixed"
233,71,81,81,0,"Stacked Mixed"
221,74,73,74,0,"Stacked Mixed"
237,77,84,76,0,"Stacked Mixed"
234,77,81,76,0,"Stacked Mixed"
232,76,77,79,0,"Stacked Mixed"
229,76,76,77,0,"Stacked Mixed"
236,81,74,81,0,"Stacked Mixed"
231,79,77,75,0,"Stacked Mixed"
223,76,72,75,0,"Stacked Mixed"
229,72,76,81,0,"Stacked Mixed"
232,77,76,79,0,"Stacked Mixed"
235,76,75,84,0,"Stacked Mixed"
237,87,74,76,0,"Stacked Mixed"
232,81,77,74,0,"Stacked Mixed"
241,84,81,76,1,"Stacked Mixed"
243,81,81,81,0,"Stacked Mixed"
230,74,75,81,0,"Stacked Mixed"
226,75,75,76,0,"Stacked Mixed"
225,74,74,77,0,"Stacked Mixed"
249,95,75,79,1,"Stacked Mixed"
238,70,81,87,1,"Stacked Mixed"
222,72,71,79,0,"Stacked Mixed"
228,72,79,77,0,"Stacked Mixed"
226,76,74,76,0,"Stacked Mixed"
226,74,73,79,0,"Stacked Mixed"
233,84,73,76,0,"Stacked Mixed"
239,79,79,81,1,"Stacked Mixed"
225,72,72,81,0,"Stacked Mixed"
237,75,81,81,1,"Stacked Mixed"
228,77,75,76,0,"Stacked Mixed"
225,76,75,74,0,"Stacked Mixed"
234,76,79,79,0,"Stacked Mixed"
237,79,79,79,1,"Stacked Mixed"
233,76,81,76,0,"Stacked Mixed"
227,75,77,75,0,"Stacked Mixed"
235,74,84,77,0,"Stacked Mixed"
236,74,75,87,0,"Stacked Mixed"
226,74,76,76,0,"Stacked Mixed"
229,76,77,76,0,"Stacked Mixed"
230,75,76,79,0,"Stacked Mixed"
237,76,77,84,1,"Stacked Mixed"
233,79,79,75,0,"Stacked Mixed"
239,87,75,77,0,"Stacked Mixed"
239,84,81,74,1,"Stacked Mixed"
231,79,75,77,0,"Stacked Mixed"
240,75,81,84,1,"Stacked Mixed"
230,75,74,81,0,"Stacked Mixed"
234,77,76,81,0,"Stacked Mixed"
239,84,79,76,1,"Stacked Mixed"
229,77,75,77,0,"Stacked Mixed"
238,81,81,76,1,"Stacked Mixed"
243,87,79,77,1,"Stacked Mixed"
244,76,87,81,1,"Stacked Mixed"
227,72,79,76,0,"Stacked Mixed"
247,91,75,81,1,"Stacked Mixed"
226,75,75,76,0,"Stacked Mixed"
230,76,79,75,0,"Stacked Mixed"
241,79,81,81,0,"Stacked Mixed"
227,77,76,74,0,"Stacked Mixed"
235,79,75,81,0,"Stacked Mixed"
236,81,76,79,1,"Stacked Mixed"
236,84,73,79,0,"Stacked Mixed"
230,77,74,79,0,"Stacked Mixed"
227,76,75,76,0,"Stacked Mixed"
227,77,75,75,0,"Stacked Mixed"
234,77,73,84,0,"Stacked Mixed"
261,87,95,79,1,"Stacked Mixed"
225,72,76,77,0,"Stacked Mixed"
226,76,75,75,0,"Stacked Mixed"
223,75,73,75,0,"Stacked Mixed"
233,68,84,81,0,"Stacked Mixed"
232,77,76,79,0,"Stacked Mixed"
231,76,79,76,0,"Stacked Mixed"
231,76,79,76,0,"Stacked Mixed"
236,72,87,77,0,"Stacked Mixed"
236,81,76,79,0,"Stacked Mixed"
226,71,74,81,0,"Stacked Mixed"
230,74,75,81,0,"Stacked Mixed"
235,77,79,79,0,"Stacked Mixed"
231,79,75,77,0,"Stacked Mixed"
235,79,79,77,1,"Stacked Mixed"
229,74,76,79,0,"Stacked Mixed"
228,75,76,77,0,"Stacked Mixed"
231,76,76,79,0,"Stacked Mixed"
225,74,74,77,0,"Stacked Mixed"
224,74,75,75,0,"Stacked Mixed"
235,75,76,84,0,"Stacked Mixed"
230,79,74,77,0,"Stacked Mixed"
222,70,76,76,0,"Stacked Mixed"
242,77,84,81,1,"Stacked Mixed"
234,81,77,76,0,"Stacked Mixed"
229,76,74,79,0,"Stacked Mixed"
229,74,76,79,0,"Stacked Mixed"
234,81,77,76,0,"Stacked Mixed"
230,72,79,79,0,"Stacked Mixed"
231,74,81,76,0,"Stacked Mixed"
227,74,77,76,0,"Stacked Mixed"
244,87,76,81,1,"Stacked Mixed"
235,79,81,75,0,"Stacked Mixed"
228,75,76,77,0,"Stacked Mixed"
237,79,81,77,0,"Stacked Mixed"
219,73,73,73,0,"Stacked Mixed"
234,74,84,76,0,"Stacked Mixed"
235,77,79,79,0,"Stacked Mixed"
232,79,76,77,1,"Stacked Mixed"
229,77,75,77,0,"Stacked Mixed"
231,77,75,79,0,"Stacked Mixed"
237,87,74,76,0,"Stacked Mixed"
230,76,75,79,0,"Stacked Mixed"
226,72,75,79,0,"Stacked Mixed"
240,76,77,87,1,"Stacked Mixed"
241,87,73,81,1,"Stacked Mixed"
231,77,75,79,0,"Stacked Mixed"
258,76,95,87,1,"Stacked Mixed"
229,79,75,75,0,"Stacked Mixed"
228,76,77,75,0,"Stacked Mixed"
226,76,75,75,0,"Stacked Mixed"
232,77,76,79,0,"Stacked Mixed"
235,81,75,79,0,"Stacked Mixed"
242,74,87,81,1,"Stacked Mixed"
242,74,84,84,1,"Stacked Mixed"
226,77,70,79,0,"Stacked Mixed"
232,77,76,79,0,"Stacked Mixed"
223,75,72,76,0,"Stacked Mixed"
232,81,74,77,0,"Stacked Mixed"
231,75,81,75,0,"Stacked Mixed"
231,76,76,79,0,"Stacked Mixed"
231,75,81,75,0,"Stacked Mixed"
232,79,76,77,0,"Stacked Mixed"
238,76,81,81,1,"Stacked Mixed"
227,70,76,81,0,"Stacked Mixed"
222,72,76,74,0,"Stacked Mixed"
227,71,79,77,0,"Stacked Mixed"
231,81,75,75,0,"Stacked Mixed"
230,74,77,79,0,"Stacked Mixed"
239,81,79,79,1,"Stacked Mixed"
228,77,74,77,0,"Stacked Mixed"
224,76,73,75,0,"Stacked Mixed"
236,72,77,87,0,"Stacked Mixed"
241,76,84,81,0,"Stacked Mixed"
251,95,81,75,1,"Stacked Mixed"
233,81,77,75,0,"Stacked Mixed"
256,84,91,81,1,"Stacked Mixed"
226,73,77,76,0,"Stacked Mixed"
234,72,81,81,0,"Stacked Mixed"
235,81,75,79,0,"Stacked Mixed"
232,76,75,81,0,"Stacked Mixed"
232,79,76,77,0,"Stacked Mixed"
239,81,79,79,0,"Stacked Mixed"
227,71,75,81,0,"Stacked Mixed"
227,74,79,74,0,"Stacked Mixed"
229,76,74,79,0,"Stacked Mixed"
238,72,87,79,1,"Stacked Mixed"
239,75,87,77,0,"Stacked Mixed"
232,77,76,79,0,"Stacked Mixed"
232,77,81,74,0,"Stacked Mixed"
228,77,75,76,0,"Stacked Mixed"
232,79,74,79,0,"Stacked Mixed"
224,73,76,75,0,"Stacked Mixed"
227,74,76,77,0,"Stacked Mixed"
234,75,75,84,0,"Stacked Mixed"
229,74,76,79,0,"Stacked Mixed"
237,68,95,74,1,"Stacked Mixed"
237,81,77,79,1,"Stacked Mixed"
245,81,87,77,1,"Stacked Mixed"
236,76,79,81,0,"Stacked Mixed"
230,75,74,81,0,"Stacked Mixed"
247,81,79,87,1,"Stacked Mixed"
228,70,79,79,0,"Stacked Mixed"
223,68,74,81,0,"Stacked Mixed"
227,76,74,77,0,"Stacked Mixed"
233,79,75,79,0,"Stacked Mixed"
226,74,75,77,0,"Stacked Mixed"
232,74,79,79,0,"Stacked Mixed"
223,68,76,79,0,"Stacked Mixed"
235,77,79,79,0,"Stacked Mixed"
225,75,75,75,0,"Stacked Mixed"
242,74,81,87,1,"Stacked Mixed"
246,74,95,77,1,"Stacked Mixed"
228,79,72,77,0,"Stacked Mixed"
