"nz_points_total","nz_points_mixed","nz_points_opens","nz_points_womens","nz_qualify","scenario"
242,66,95,81,1,"Superstacked Opens/Womens"
247,69,91,87,1,"Superstacked Opens/Womens"
226,66,81,79,0,"Superstacked Opens/Womens"
229,66,76,87,0,"Superstacked Opens/Womens"
231,68,84,79,0,"Superstacked Opens/Womens"
243,69,87,87,1,"Superstacked Opens/Womens"
221,68,76,77,0,"Superstacked Opens/Womens"
240,75,84,81,1,"Superstacked Opens/Womens"
226,66,79,81,0,"Superstacked Opens/Womens"
236,65,84,87,0,"Superstacked Opens/Womens"
232,67,84,81,0,"Superstacked Opens/Womens"
234,66,81,87,0,"Superstacked Opens/Womens"
232,67,81,84,0,"Superstacked Opens/Womens"
225,68,76,81,0,"Superstacked Opens/Womens"
240,72,84,84,0,"Superstacked Opens/Womens"
244,74,91,79,1,"Superstacked Opens/Womens"
239,71,84,84,1,"Superstacked Opens/Womens"
246,67,100,79,1,"Superstacked Opens/Womens"
247,68,95,84,1,"Superstacked Opens/Womens"
251,69,95,87,1,"Superstacked Opens/Womens"
246,71,91,84,1,"Superstacked Opens/Womens"
236,66,91,79,0,"Superstacked Opens/Womens"
243,68,91,84,1,"Superstacked Opens/Womens"
239,68,87,84,0,"Superstacked Opens/Womens"
236,68,87,81,0,"Superstacked Opens/Womens"
243,68,91,84,1,"Superstacked Opens/Womens"
244,68,95,81,1,"Superstacked Opens/Womens"
228,66,81,81,0,"Superstacked Opens/Womens"
224,67,76,81,0,"Superstacked Opens/Womens"
254,68,91,95,1,"Superstacked Opens/Womens"
229,67,81,81,1,"Superstacked Opens/Womens"
229,66,84,79,0,"Superstacked Opens/Womens"
238,68,79,91,0,"Superstacked Opens/Womens"
235,68,91,76,0,"Superstacked Opens/Womens"
240,68,91,81,1,"Superstacked Opens/Womens"
239,65,95,79,1,"Superstacked Opens/Womens"
248,69,95,84,1,"Superstacked Opens/Womens"
237,65,91,81,0,"Superstacked Opens/Womens"
234,66,87,81,0,"Superstacked Opens/Womens"
225,69,75,81,0,"Superstacked Opens/Womens"
252,73,95,84,1,"Superstacked Opens/Womens"
246,68,91,87,1,"Superstacked Opens/Womens"
234,69,84,81,1,"Superstacked Opens/Womens"
226,68,79,79,0,"Superstacked Opens/Womens"
239,71,87,81,1,"Superstacked Opens/Womens"
231,68,84,79,0,"Superstacked Opens/Womens"
246,68,91,87,1,"Superstacked Opens/Womens"
238,70,87,81,0,"Superstacked Opens/Womens"
248,74,87,87,1,"Superstacked Opens/Womens"
229,64,84,81,0,"Superstacked Opens/Womens"
227,67,81,79,0,"Superstacked Opens/Womens"
245,71,95,79,1,"Superstacked Opens/Womens"
245,71,95,79,1,"Superstacked Opens/Womens"
241,65,95,81,1,"Superstacked Opens/Womens"
236,71,84,81,0,"Superstacked Opens/Womens"
227,70,76,81,0,"Superstacked Opens/Womens"
225,65,81,79,0,"Superstacked Opens/Womens"
237,71,87,79,1,"Superstacked Opens/Womens"
227,65,81,81,0,"Superstacked Opens/Womens"
236,68,84,84,0,"Superstacked Opens/Womens"
231,68,84,79,0,"Superstacked Opens/Womens"
227,71,75,81,0,"Superstacked Opens/Womens"
234,68,87,79,0,"Superstacked Opens/Womens"
234,68,87,79,0,"Superstacked Opens/Womens"
242,66,95,81,1,"Superstacked Opens/Womens"
246,68,91,87,1,"Superstacked Opens/Womens"
235,67,87,81,0,"Superstacked Opens/Womens"
235,67,87,81,0,"Superstacked Opens/Womens"
233,70,76,87,0,"Superstacked Opens/Womens"
237,72,84,81,0,"Superstacked Opens/Womens"
230,72,79,79,0,"Superstacked Opens/Womens"
231,69,81,81,0,"Superstacked Opens/Womens"
233,67,87,79,0,"Superstacked Opens/Womens"
238,68,91,79,1,"Superstacked Opens/Womens"
227,67,79,81,0,"Superstacked Opens/Womens"
249,68,100,81,1,"Superstacked Opens/Womens"
237,67,91,79,0,"Superstacked Opens/Womens"
242,66,95,81,1,"Superstacked Opens/Womens"
246,70,95,81,1,"Superstacked Opens/Womens"
224,69,76,79,0,"Superstacked Opens/Womens"
223,68,76,79,0,"Superstacked Opens/Womens"
236,71,81,84,0,"Superstacked Opens/Womens"
236,70,87,79,0,"Superstacked Opens/Womens"
223,66,76,81,0,"Superstacked Opens/Womens"
236,68,91,77,0,"Superstacked Opens/Womens"
221,67,79,75,0,"Superstacked Opens/Womens"
223,66,76,81,0,"Superstacked Opens/Womens"
245,71,87,87,1,"Superstacked Opens/Womens"
227,68,75,84,0,"Superstacked Opens/Womens"
230,72,79,79,0,"Superstacked Opens/Womens"
234,66,87,81,0,"Superstacked Opens/Womens"
234,66,87,81,0,"Superstacked Opens/Womens"
228,67,77,84,0,"Superstacked Opens/Womens"
246,67,95,84,1,"Superstacked Opens/Womens"
239,67,81,91,1,"Superstacked Opens/Womens"
230,68,81,81,0,"Superstacked Opens/Womens"
240,68,91,81,1,"Superstacked Opens/Womens"
228,65,84,79,0,"Superstacked Opens/Womens"
230,69,84,77,0,"Superstacked Opens/Womens"
226,65,74,87,0,"Superstacked Opens/Womens"
228,68,79,81,0,"Superstacked Opens/Womens"
228,65,79,84,0,"Superstacked Opens/Womens"
222,68,75,79,0,"Superstacked Opens/Womens"
221,65,75,81,0,"Superstacked Opens/Womens"
227,69,79,79,0,"Superstacked Opens/Womens"
226,67,75,84,0,"Superstacked Opens/Womens"
233,68,84,81,0,"Superstacked Opens/Womens"
235,69,87,79,1,"Superstacked Opens/Womens"
232,67,81,84,0,"Superstacked Opens/Womens"
241,67,95,79,1,"Superstacked Opens/Womens"
234,71,84,79,0,"Superstacked Opens/Womens"
239,68,87,84,1,"Superstacked Opens/Womens"
234,68,79,87,0,"Superstacked Opens/Womens"
232,71,84,77,0,"Superstacked Opens/Womens"
246,67,95,84,1,"Superstacked Opens/Womens"
235,70,84,81,0,"Superstacked Opens/Womens"
242,66,95,81,1,"Superstacked Opens/Womens"
257,67,95,95,1,"Superstacked Opens/Womens"
223,68,76,79,0,"Superstacked Opens/Womens"
241,71,91,79,0,"Superstacked Opens/Womens"
235,67,87,81,0,"Superstacked Opens/Womens"
221,66,76,79,0,"Superstacked Opens/Womens"
244,66,87,91,0,"Superstacked Opens/Womens"
236,71,84,81,0,"Superstacked Opens/Womens"
239,65,87,87,0,"Superstacked Opens/Womens"
238,73,84,81,0,"Superstacked Opens/Womens"
232,70,81,81,0,"Superstacked Opens/Womens"
250,68,95,87,1,"Superstacked Opens/Womens"
215,65,76,74,0,"Superstacked Opens/Womens"
228,68,76,84,0,"Superstacked Opens/Womens"
231,68,87,76,0,"Superstacked Opens/Womens"
236,70,79,87,1,"Superstacked Opens/Womens"
225,68,76,81,0,"Superstacked Opens/Womens"
238,70,87,81,0,"Superstacked Opens/Womens"
242,71,84,87,1,"Superstacked Opens/Womens"
239,67,91,81,0,"Superstacked Opens/Womens"
234,71,84,79,0,"Superstacked Opens/Womens"
242,68,95,79,1,"Superstacked Opens/Womens"
236,71,84,81,0,"Superstacked Opens/Womens"
230,65,84,81,0,"Superstacked Opens/Womens"
224,69,76,79,0,"Superstacked Opens/Womens"
241,69,91,81,1,"Superstacked Opens/Womens"
228,66,81,81,0,"Superstacked Opens/Womens"
231,68,79,84,0,"Superstacked Opens/Womens"
233,65,84,84,0,"Superstacked Opens/Womens"
231,66,84,81,0,"Superstacked Opens/Womens"
244,68,95,81,1,"Superstacked Opens/Womens"
240,70,91,79,1,"Superstacked Opens/Womens"
232,69,84,79,0,"Superstacked Opens/Womens"
227,68,75,84,0,"Superstacked Opens/Womens"
235,70,84,81,0,"Superstacked Opens/Womens"
229,66,84,79,0,"Superstacked Opens/Womens"
242,67,91,84,1,"Superstacked Opens/Womens"
232,70,81,81,0,"Superstacked Opens/Womens"
227,67,76,84,0,"Superstacked Opens/Womens"
247,68,95,84,1,"Superstacked Opens/Womens"
243,68,91,84,1,"Superstacked Opens/Womens"
226,75,74,77,0,"Superstacked Opens/Womens"
237,69,84,84,0,"Superstacked Opens/Womens"
232,69,79,84,0,"Superstacked Opens/Womens"
233,67,87,79,0,"Superstacked Opens/Womens"
245,66,95,84,1,"Superstacked Opens/Womens"
234,68,87,79,0,"Superstacked Opens/Womens"
226,69,73,84,0,"Superstacked Opens/Womens"
225,68,81,76,0,"Superstacked Opens/Womens"
223,68,76,79,0,"Superstacked Opens/Womens"
246,68,91,87,1,"Superstacked Opens/Womens"
228,66,75,87,0,"Superstacked Opens/Womens"
223,66,76,81,0,"Superstacked Opens/Womens"
233,68,84,81,1,"Superstacked Opens/Womens"
222,65,76,81,0,"Superstacked Opens/Womens"
227,69,79,79,0,"Superstacked Opens/Womens"
224,68,77,79,0,"Superstacked Opens/Womens"
240,70,91,79,1,"Superstacked Opens/Womens"
237,69,81,87,1,"Superstacked Opens/Womens"
252,66,95,91,1,"Superstacked Opens/Womens"
245,73,81,91,1,"Superstacked Opens/Womens"
237,69,84,84,0,"Superstacked Opens/Womens"
246,70,95,81,1,"Superstacked Opens/Womens"
224,67,76,81,0,"Superstacked Opens/Womens"
225,72,74,79,0,"Superstacked Opens/Womens"
233,70,79,84,0,"Superstacked Opens/Womens"
240,68,91,81,1,"Superstacked Opens/Womens"
225,68,81,76,0,"Superstacked Opens/Womens"
225,65,79,81,0,"Superstacked Opens/Womens"
236,73,87,76,0,"Superstacked Opens/Womens"
243,67,95,81,1,"Superstacked Opens/Womens"
243,71,91,81,1,"Superstacked Opens/Womens"
234,66,87,81,0,"Superstacked Opens/Womens"
223,68,76,79,0,"Superstacked Opens/Womens"
243,67,95,81,1,"Superstacked Opens/Womens"
230,67,84,79,0,"Superstacked Opens/Womens"
241,71,91,79,0,"Superstacked Opens/Womens"
238,74,77,87,1,"Superstacked Opens/Womens"
236,68,87,81,1,"Superstacked Opens/Womens"
238,70,87,81,0,"Superstacked Opens/Womens"
232,72,79,81,0,"Superstacked Opens/Womens"
231,68,84,79,0,"Superstacked Opens/Womens"
229,68,84,77,0,"Superstacked Opens/Womens"
225,71,77,77,0,"Superstacked Opens/Womens"
245,69,95,81,1,"Superstacked Opens/Womens"
239,68,84,87,0,"Superstacked Opens/Womens"
221,68,74,79,0,"Superstacked Opens/Womens"
230,67,84,79,0,"Superstacked Opens/Womens"
234,68,87,79,0,"Superstacked Opens/Womens"
248,70,91,87,1,"Superstacked Opens/Womens"
230,68,75,87,0,"Superstacked Opens/Womens"
224,64,76,84,0,"Superstacked Opens/Womens"
224,67,76,81,0,"Superstacked Opens/Womens"
230,67,87,76,0,"Superstacked Opens/Womens"
251,67,100,84,1,"Superstacked Opens/Womens"
242,70,91,81,1,"Superstacked Opens/Womens"
230,70,79,81,0,"Superstacked Opens/Womens"
239,68,84,87,1,"Superstacked Opens/Womens"
238,66,91,81,1,"Superstacked Opens/Womens"
232,69,76,87,0,"Superstacked Opens/Womens"
220,67,74,79,0,"Superstacked Opens/Womens"
236,68,87,81,0,"Superstacked Opens/Womens"
231,68,84,79,0,"Superstacked Opens/Womens"
237,67,91,79,0,"Superstacked Opens/Womens"
243,72,84,87,1,"Superstacked Opens/Womens"
242,68,95,79,1,"Superstacked Opens/Womens"
226,68,79,79,0,"Superstacked Opens/Womens"
250,68,95,87,1,"Superstacked Opens/Womens"
225,67,79,79,0,"Superstacked Opens/Womens"
234,68,75,91,0,"Superstacked Opens/Womens"
243,68,91,84,1,"Superstacked Opens/Womens"
228,68,79,81,0,"Superstacked Opens/Womens"
231,73,77,81,0,"Superstacked Opens/Womens"
231,68,84,79,0,"Superstacked Opens/Womens"
225,66,75,84,0,"Superstacked Opens/Womens"
244,68,95,81,1,"Superstacked Opens/Womens"
230,65,81,84,0,"Superstacked Opens/Womens"
238,68,91,79,0,"Superstacked Opens/Womens"
225,67,79,79,0,"Superstacked Opens/Womens"
238,71,91,76,0,"Superstacked Opens/Womens"
232,66,87,79,0,"Superstacked Opens/Womens"
234,69,84,81,0,"Superstacked Opens/Womens"
235,69,87,79,0,"Superstacked Opens/Womens"
233,70,79,84,0,"Superstacked Opens/Womens"
247,68,95,84,1,"Superstacked Opens/Womens"
243,67,95,81,1,"Superstacked Opens/Womens"
240,74,87,79,0,"Superstacked Opens/Womens"
241,67,79,95,0,"Superstacked Opens/Womens"
246,67,95,84,1,"Superstacked Opens/Womens"
240,69,84,87,0,"Superstacked Opens/Womens"
233,67,87,79,0,"Superstacked Opens/Womens"
228,68,76,84,0,"Superstacked Opens/Womens"
239,73,87,79,1,"Superstacked Opens/Womens"
241,65,95,81,1,"Superstacked Opens/Womens"
248,69,95,84,1,"Superstacked Opens/Womens"
243,67,95,81,1,"Superstacked Opens/Womens"
234,68,87,79,0,"Superstacked Opens/Womens"
238,68,91,79,1,"Superstacked Opens/Womens"
242,70,91,81,1,"Superstacked Opens/Womens"
239,68,84,87,1,"Superstacked Opens/Womens"
236,66,91,79,0,"Superstacked Opens/Womens"
240,66,95,79,1,"Superstacked Opens/Womens"
238,66,95,77,0,"Superstacked Opens/Womens"
234,69,84,81,0,"Superstacked Opens/Womens"
