"nz_points_total","nz_points_mixed","nz_points_opens","nz_points_womens","nz_qualify","scenario"
230,79,72,79,0,"Superstacked Mixed"
239,87,75,77,1,"Superstacked Mixed"
236,84,73,79,1,"Superstacked Mixed"
223,74,74,75,0,"Superstacked Mixed"
244,91,77,76,1,"Superstacked Mixed"
233,81,75,77,0,"Superstacked Mixed"
235,77,74,84,0,"Superstacked Mixed"
243,87,81,75,1,"Superstacked Mixed"
239,84,76,79,1,"Superstacked Mixed"
227,76,76,75,0,"Superstacked Mixed"
245,95,76,74,1,"Superstacked Mixed"
231,79,75,77,0,"Superstacked Mixed"
237,84,76,77,0,"Superstacked Mixed"
234,81,74,79,0,"Superstacked Mixed"
238,81,76,81,1,"Superstacked Mixed"
236,87,73,76,0,"Superstacked Mixed"
224,76,72,76,0,"Superstacked Mixed"
237,87,74,76,0,"Superstacked Mixed"
224,76,73,75,0,"Superstacked Mixed"
228,77,74,77,0,"Superstacked Mixed"
225,75,74,76,0,"Superstacked Mixed"
224,74,77,73,0,"Superstacked Mixed"
245,91,77,77,1,"Superstacked Mixed"
221,72,74,75,0,"Superstacked Mixed"
227,77,76,74,0,"Superstacked Mixed"
229,79,75,75,0,"Superstacked Mixed"
237,79,81,77,0,"Superstacked Mixed"
230,81,76,73,0,"Superstacked Mixed"
224,74,74,76,0,"Superstacked Mixed"
234,84,73,77,0,"Superstacked Mixed"
239,81,79,79,1,"Superstacked Mixed"
233,76,73,84,0,"Superstacked Mixed"
228,76,75,77,0,"Superstacked Mixed"
232,81,74,77,0,"Superstacked Mixed"
235,84,74,77,0,"Superstacked Mixed"
227,81,73,73,0,"Superstacked Mixed"
241,77,87,77,0,"Superstacked Mixed"
229,79,74,76,0,"Superstacked Mixed"
236,84,76,76,0,"Superstacked Mixed"
236,87,73,76,0,"Superstacked Mixed"
232,84,75,73,0,"Superstacked Mixed"
228,77,77,74,0,"Superstacked Mixed"
225,76,74,75,0,"Superstacked Mixed"
238,87,76,75,0,"Superstacked Mixed"
230,76,75,79,0,"Superstacked Mixed"
247,91,77,79,1,"Superstacked Mixed"
230,79,76,75,0,"Superstacked Mixed"
249,95,73,81,1,"Superstacked Mixed"
228,76,76,76,0,"Superstacked Mixed"
229,75,75,79,0,"Superstacked Mixed"
231,77,75,79,0,"Superstacked Mixed"
224,72,73,79,0,"Superstacked Mixed"
259,95,87,77,1,"Superstacked Mixed"
245,91,75,79,1,"Superstacked Mixed"
244,91,77,76,1,"Superstacked Mixed"
237,87,73,77,0,"Superstacked Mixed"
240,87,72,81,0,"Superstacked Mixed"
239,77,81,81,0,"Superstacked Mixed"
243,79,87,77,1,"Superstacked Mixed"
233,77,77,79,0,"Superstacked Mixed"
240,81,75,84,0,"Superstacked Mixed"
253,95,77,81,1,"Superstacked Mixed"
227,76,75,76,0,"Superstacked Mixed"
227,76,74,77,0,"Superstacked Mixed"
236,84,76,76,0,"Superstacked Mixed"
240,84,77,79,0,"Superstacked Mixed"
224,76,73,75,0,"Superstacked Mixed"
243,79,77,87,1,"Superstacked Mixed"
232,77,79,76,0,"Superstacked Mixed"
241,87,77,77,1,"Superstacked Mixed"
228,74,77,77,0,"Superstacked Mixed"
231,79,75,77,0,"Superstacked Mixed"
234,74,81,79,1,"Superstacked Mixed"
236,81,76,79,0,"Superstacked Mixed"
234,77,76,81,0,"Superstacked Mixed"
243,87,77,79,1,"Superstacked Mixed"
231,81,74,76,0,"Superstacked Mixed"
228,76,77,75,0,"Superstacked Mixed"
224,70,77,77,0,"Superstacked Mixed"
240,84,77,79,1,"Superstacked Mixed"
232,84,75,73,0,"Superstacked Mixed"
235,87,73,75,0,"Superstacked Mixed"
230,76,75,79,0,"Superstacked Mixed"
232,81,77,74,0,"Superstacked Mixed"
235,84,74,77,0,"Superstacked Mixed"
238,87,74,77,1,"Superstacked Mixed"
231,74,81,76,0,"Superstacked Mixed"
237,91,73,73,0,"Superstacked Mixed"
232,84,72,76,0,"Superstacked Mixed"
222,71,74,77,0,"Superstacked Mixed"
243,81,87,75,1,"Superstacked Mixed"
227,75,75,77,0,"Superstacked Mixed"
228,75,76,77,0,"Superstacked Mixed"
224,72,75,77,0,"Superstacked Mixed"
227,76,74,77,0,"Superstacked Mixed"
232,81,72,79,0,"Superstacked Mixed"
229,76,76,77,0,"Superstacked Mixed"
229,77,75,77,0,"Superstacked Mixed"
237,77,76,84,1,"Superstacked Mixed"
232,77,76,79,0,"Superstacked Mixed"
231,76,79,76,0,"Superstacked Mixed"
238,87,72,79,1,"Superstacked Mixed"
234,84,75,75,0,"Superstacked Mixed"
241,87,77,77,1,"Superstacked Mixed"
226,76,73,77,0,"Superstacked Mixed"
235,75,87,73,0,"Superstacked Mixed"
239,77,81,81,0,"Superstacked Mixed"
226,77,75,74,0,"Superstacked Mixed"
230,84,72,74,0,"Superstacked Mixed"
228,77,74,77,0,"Superstacked Mixed"
241,81,79,81,1,"Superstacked Mixed"
231,79,76,76,0,"Superstacked Mixed"
227,76,74,77,0,"Superstacked Mixed"
240,84,77,79,1,"Superstacked Mixed"
226,77,73,76,0,"Superstacked Mixed"
235,77,77,81,0,"Superstacked Mixed"
229,70,84,75,0,"Superstacked Mixed"
226,79,74,73,0,"Superstacked Mixed"
234,81,74,79,0,"Superstacked Mixed"
247,87,84,76,1,"Superstacked Mixed"
242,91,72,79,0,"Superstacked Mixed"
240,91,72,77,1,"Superstacked Mixed"
233,81,73,79,0,"Superstacked Mixed"
229,76,74,79,0,"Superstacked Mixed"
238,87,75,76,1,"Superstacked Mixed"
241,84,81,76,0,"Superstacked Mixed"
245,75,91,79,1,"Superstacked Mixed"
228,77,75,76,0,"Superstacked Mixed"
249,87,81,81,1,"Superstacked Mixed"
229,79,74,76,0,"Superstacked Mixed"
240,79,87,74,0,"Superstacked Mixed"
253,95,79,79,1,"Superstacked Mixed"
229,77,76,76,0,"Superstacked Mixed"
233,81,75,77,0,"Superstacked Mixed"
237,81,77,79,1,"Superstacked Mixed"
249,100,75,74,1,"Superstacked Mixed"
242,91,75,76,1,"Superstacked Mixed"
238,87,74,77,0,"Superstacked Mixed"
237,79,81,77,0,"Superstacked Mixed"
226,76,75,75,0,"Superstacked Mixed"
237,87,73,77,1,"Superstacked Mixed"
228,75,74,79,0,"Superstacked Mixed"
244,81,84,79,1,"Superstacked Mixed"
233,79,77,77,0,"Superstacked Mixed"
237,84,77,76,0,"Superstacked Mixed"
223,76,72,75,0,"Superstacked Mixed"
224,76,74,74,0,"Superstacked Mixed"
231,76,76,79,0,"Superstacked Mixed"
236,75,84,77,0,"Superstacked Mixed"
232,79,74,79,0,"Superstacked Mixed"
225,76,73,76,0,"Superstacked Mixed"
241,91,74,76,1,"Superstacked Mixed"
240,95,70,75,1,"Superstacked Mixed"
237,87,74,76,0,"Superstacked Mixed"
227,77,73,77,0,"Superstacked Mixed"
227,74,79,74,0,"Superstacked Mixed"
231,77,75,79,0,"Superstacked Mixed"
